Date,Year,Month,Month_Name,Quarter,Day,Day_of_Week,Day_Name,Week_of_Year,Week_of_Month,Is_Weekend,Is_Month_Start,Is_Month_End,Transaction Description,Transaction_Description_Clean,Category,Amount,Type,Is_Income,Category_Avg_Amount,Monthly_Total_By_Category,Previous_Transaction_Amount,Rolling_7day_Avg,Rolling_30day_Avg,Days_Since_Last_Transaction,Cumulative_Spending_By_Category,Transaction_Count_By_Category
2020-01-02,2020,1,January,1,2,3,Thursday,1,1,0,0,0,Score each.,Score each.,Food & Drink,1485.69,Expense,0,1070.425436241611,5458.51,,1485.69,1485.69,0.0,1485.69,1
2020-01-02,2020,1,January,1,2,3,Thursday,1,1,0,0,0,Quality throughout.,Quality throughout.,Utilities,1475.58,Expense,0,935.2482165605096,1475.58,1485.69,1480.635,1480.635,0.0,1475.58,1
2020-01-04,2020,1,January,1,4,5,Saturday,1,1,1,0,0,Instead ahead despite measure ago.,Instead ahead despite measure ago.,Rent,1185.08,Expense,0,982.2750909090909,3663.22,1475.58,1382.1166666666668,1382.1166666666668,2.0,1185.08,1
2020-01-05,2020,1,January,1,5,6,Sunday,1,1,1,0,0,Information last everything thank serve.,Information last everything thank serve.,Investment,2291.0,Income,1,2558.112676056338,2291.0,1185.08,1609.3375,1609.3375,1.0,2291.0,1
2020-01-13,2020,1,January,1,13,0,Monday,3,2,0,0,0,Future choice whatever from.,Future choice whatever from.,Food & Drink,1126.88,Expense,0,1070.425436241611,5458.51,2291.0,1512.846,1512.846,8.0,2612.57,2
2020-01-14,2020,1,January,1,14,1,Tuesday,3,2,0,0,0,Benefit suggest page southern.,Benefit suggest page southern.,Shopping,448.68,Expense,0,979.205,1178.6599999999999,1126.88,1335.485,1335.485,1.0,448.68,1
2020-01-18,2020,1,January,1,18,5,Saturday,3,3,1,0,0,By two bad fall pick.,By two bad fall pick.,Food & Drink,1520.03,Expense,0,1070.425436241611,5458.51,448.68,1361.8485714285714,1361.8485714285714,4.0,4132.6,3
2020-01-19,2020,1,January,1,19,6,Sunday,3,3,1,0,0,Court attorney product significant world.,Court attorney product significant world.,Other,3287.0,Income,1,2726.7279411764707,3287.0,1520.03,1619.1785714285713,1602.4925,1.0,3287.0,1
2020-01-21,2020,1,January,1,21,1,Tuesday,4,3,0,0,0,Herself law.,Herself law.,Entertainment,1914.85,Expense,0,1036.1221678321679,1914.85,3287.0,1681.9314285714286,1637.198888888889,2.0,1914.85,1
2020-01-25,2020,1,January,1,25,5,Saturday,4,4,1,0,0,Have decide environment.,Have decide environment.,Rent,766.06,Expense,0,982.2750909090909,3663.22,1914.85,1622.0714285714287,1550.085,4.0,1951.1399999999999,2
